Image_ID,Tree_Index,Class,X_Global,Y_Global,Z_Tiefe_lokal
4275,2,trunk,5956380.0341,644965.9756,1.69
4275,7,trunk,5956380.0749,644965.4576,2.01
4285,2,trunk,5956379.5756,644968.1373,1.65
4285,25,trunk,5956379.3002,644967.9768,1.62
4285,13,trunk,5956379.6080,644967.7479,1.92
4285,10,trunk,5956379.8082,644968.1546,1.26
4295,9,trunk,5956378.5707,644970.2376,1.65
4295,5,trunk,5956378.6792,644969.8606,1.88
4295,2,trunk,5956378.8433,644969.5929,1.91
4305,5,trunk,5956377.8242,644972.0922,1.93
4305,11,trunk,5956377.9492,644971.8021,2.00
4305,3,trunk,5956378.1879,644971.8490,1.64
4315,21,trunk,5956377.6281,644974.7581,1.14
4315,14,trunk,5956377.5497,644974.1991,1.70
4315,16,trunk,5956377.5518,644974.2115,1.69
4315,7,trunk,5956377.6254,644973.8062,1.91
4325,18,trunk,5956376.8579,644976.2275,2.06
4325,25,trunk,5956377.1346,644976.2805,1.62
4325,6,trunk,5956376.4218,644975.1490,2.74
4325,0,trunk,5956377.2559,644976.0817,1.63
4335,12,trunk,5956376.2790,644978.4756,1.65
4335,1,trunk,5956376.4694,644978.0394,2.12
4335,21,trunk,5956376.6048,644977.9133,2.03
4335,17,trunk,5956376.7163,644977.7829,1.98
4345,25,trunk,5956376.0638,644980.2712,1.86
4345,26,trunk,5956376.2079,644980.2062,1.62
4345,0,trunk,5956376.4294,644980.3540,1.26
4345,12,trunk,5956376.2524,644979.9955,1.50
4355,0,trunk,5956375.5306,644982.8095,1.54
4355,8,trunk,5956375.6052,644982.3831,1.83
4355,12,trunk,5956375.7796,644982.4718,1.42
4355,9,trunk,5956375.7185,644982.4444,1.41
4365,16,trunk,5956375.1624,644985.0415,1.17
4365,25,trunk,5956375.2707,644984.8768,1.18
4365,2,trunk,5956375.2994,644984.2058,1.85
4365,13,trunk,5956375.1586,644984.3905,1.42
4375,18,trunk,5956374.7051,644987.1141,1.31
4375,6,trunk,5956374.8035,644986.9187,1.38
4375,17,trunk,5956374.7471,644986.7282,1.57
4375,13,trunk,5956374.9385,644986.8717,1.21
4385,9,trunk,5956374.2302,644989.1807,1.23
4385,16,trunk,5956374.2920,644988.7411,1.57
4385,28,trunk,5956374.3868,644988.7810,1.38
4385,21,trunk,5956374.1611,644988.8307,1.16
4395,30,trunk,5956373.7300,644991.3381,1.17
4395,20,trunk,5956373.7439,644990.7546,1.85
4395,33,trunk,5956373.9386,644990.5143,1.87
4405,8,trunk,5956372.6542,644993.8105,0.94
4405,4,trunk,5956372.5657,644993.2863,1.52
4405,18,trunk,5956372.5989,644992.7125,1.95
4415,10,trunk,5956371.8162,644995.5388,1.72
4415,0,trunk,5956371.9919,644995.4696,1.50
4415,19,trunk,5956372.1358,644995.3769,1.35
4415,12,trunk,5956371.7746,644995.0830,1.51
4425,1,trunk,5956371.5822,644997.0668,2.01
4425,16,trunk,5956371.7014,644996.6630,2.15
4435,5,trunk,5956371.2547,644999.2403,1.67
4435,18,trunk,5956371.3747,644999.0467,1.74
4435,12,trunk,5956371.5071,644998.9821,1.63
4445,30,trunk,5956370.4520,645001.3136,1.83
4445,9,trunk,5956370.6328,645001.1222,1.80
4445,3,trunk,5956370.5778,645001.1599,1.59
4445,14,trunk,5956370.7711,645000.6370,2.11
4445,24,trunk,5956370.7629,645000.6083,2.14
4455,11,trunk,5956369.6929,645003.5711,1.54
4455,0,trunk,5956369.9404,645003.3223,1.86
4455,9,trunk,5956369.8160,645003.3480,1.58
4455,7,trunk,5956370.1543,645003.1956,1.70
4465,15,trunk,5956369.5254,645006.2480,1.08
4465,5,trunk,5956369.4809,645005.9429,1.37
4465,19,trunk,5956369.4041,645005.2093,2.00
4465,13,trunk,5956369.6846,645006.0153,1.03
4475,1,trunk,5956368.7393,645007.7572,1.83
4475,23,trunk,5956368.8177,645007.4295,1.90
4475,20,trunk,5956368.9537,645007.6721,1.62
4485,10,trunk,5956368.3015,645010.0453,1.55
4485,14,trunk,5956368.2475,645010.0264,1.51
4485,12,trunk,5956368.4887,645010.0491,1.41
4495,7,trunk,5956367.0751,645012.3561,1.77
4495,24,trunk,5956367.2350,645012.2874,1.51
4495,11,trunk,5956367.1741,645012.2379,1.54
4495,20,trunk,5956367.2403,645012.0639,1.47
4505,13,trunk,5956367.2698,645014.2048,1.62
4505,1,trunk,5956367.3945,645013.9492,1.75
4505,3,trunk,5956367.4897,645013.5407,1.96
